DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
07/09/2013,Nick Macleod,Tom Arscott,Tom Arscott,NULL,NULL,NULL,NULL,NULL,1000,1798
13/09/2013,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1799
20/09/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,1000,1800
27/09/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1801
04/10/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1802
10/10/2013,Joe Ford,Joe Ford,Joe Ford,NULL,NULL,NULL,NULL,NULL,1000,1803
19/10/2013,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1804
26/10/2013,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1805
01/11/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1806
08/11/2013,Joe Ford,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,1000,1807
15/11/2013,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1808
25/01/2014,Joe Ford,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,1000,1809
31/01/2014,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1810
05/12/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1811
13/12/2013,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1812
10/01/2014,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1813
18/01/2014,Rob Miller,Rob Miller,Rob Miller,NULL,NULL,NULL,NULL,NULL,1000,1814
03/04/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1815
22/11/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1816
30/11/2013,Rob Miller,Danny Cipriani,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1817
20/12/2013,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1818
28/12/2013,Nick Macleod,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,1000,1819
03/01/2014,Nick Macleod,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1820
07/02/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1821
14/02/2014,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1822
22/02/2014,Danny Cipriani,Danny Cipriani,Danny Cipriani,Nick Macleod,NULL,NULL,NULL,NULL,1000,1823
01/03/2014,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1824
22/03/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1825
28/03/2014,Danny Cipriani,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,1000,1826
