ScoresID,DateOfMatch,HomeTeam,HomeScore,AwayTeam,AwayScore,Result,Competition,MatchID
1747,03/09/2006,4,35,1,23,L,1,NULL
1748,09/09/2006,1,32,11,20,W,1,NULL
1749,15/09/2006,10,13,1,25,W,1,NULL
1750,22/09/2006,1,34,2,26,W,1,NULL
1751,15/10/2006,7,14,1,31,W,1,NULL
1752,03/11/2006,1,18,3,12,W,1,NULL
1753,10/11/2006,12,15,1,9,L,1,NULL
1754,17/11/2006,1,18,8,26,L,1,NULL
1755,24/11/2006,1,17,24,12,W,1,NULL
1756,22/12/2006,5,18,1,16,L,1,NULL
1757,26/12/2006,8,40,1,25,L,1,NULL
1758,01/01/2007,1,6,12,10,L,1,NULL
1759,06/01/2007,1,20,6,19,W,1,NULL
1760,27/01/2007,6,44,1,24,L,1,NULL
1761,18/02/2007,3,26,1,18,L,1,NULL
1762,23/02/2007,1,9,7,14,L,1,NULL
1763,04/03/2007,2,22,1,9,L,1,NULL
1764,09/03/2007,1,12,10,18,L,1,NULL
1765,17/03/2007,11,18,1,18,D,1,NULL
1766,06/04/2007,1,25,4,26,L,1,NULL
1767,13/04/2007,1,25,5,23,W,1,NULL
1768,28/04/2007,24,49,1,0,L,1,NULL
1769,16/09/2007,8,33,1,12,L,1,NULL
1770,23/09/2007,1,20,12,6,W,1,NULL
1771,29/09/2007,5,21,1,19,L,1,NULL
1772,05/10/2007,1,16,3,0,W,1,NULL
1773,13/10/2007,6,31,1,12,L,1,NULL
1774,19/10/2007,1,34,2,30,W,1,NULL
1775,23/11/2007,10,15,1,34,W,1,NULL
1776,23/12/2007,1,20,4,14,W,1,NULL
1777,30/12/2007,9,20,1,34,W,1,NULL
1778,06/01/2008,7,20,1,12,L,1,NULL
1779,25/01/2008,1,20,24,13,W,1,NULL
1780,15/02/2008,1,29,9,3,W,1,NULL
1781,23/02/2008,4,11,1,14,W,1,NULL
1782,29/02/2008,1,15,10,22,L,1,NULL
1783,09/03/2008,2,24,1,20,L,1,NULL
1784,14/03/2008,1,22,6,16,W,1,NULL
1785,28/03/2008,1,22,5,6,W,1,NULL
1786,11/04/2008,12,17,1,24,W,1,NULL
1787,15/04/2008,3,29,1,19,L,1,NULL
1788,20/04/2008,1,53,8,10,W,1,NULL
1789,04/05/2008,24,16,1,23,W,1,NULL
1790,10/05/2008,1,7,7,17,L,1,NULL
1422,07/09/2008,8,9,1,14,W,1,2507
1423,12/09/2008,1,18,2,15,W,1,2508
1424,19/09/2008,12,6,1,9,W,1,2509
1425,26/09/2008,1,23,6,9,W,1,2512
1426,01/10/2008,7,28,1,6,L,1,2513
1427,14/11/2008,1,9,10,17,L,1,2514
1428,23/11/2008,3,12,1,13,W,1,2515
1429,28/11/2008,1,27,4,13,W,1,2516
1430,20/12/2008,5,24,1,20,L,1,2517
1357,26/12/2008,1,31,3,3,W,1,2518
1431,09/01/2009,1,14,7,8,W,1,2519
1377,31/01/2009,10,20,1,37,W,1,2520
1378,14/02/2009,6,24,1,17,W,1,2521
1379,20/02/2009,1,32,12,13,W,1,2522
1380,01/03/2009,2,24,1,23,L,1,2523
1432,08/03/2009,1,25,8,32,L,1,2524
1382,14/03/2009,11,38,1,3,L,1,2525
1383,22/03/2009,24,38,1,20,L,1,2526
1384,27/03/2009,1,23,5,16,W,1,2527
1385,04/04/2009,4,37,1,1,L,1,2528
1386,17/04/2009,1,28,24,6,W,1,2529
1387,25/04/2009,1,24,11,18,W,1,2530
1381,03/08/2009,1,25,8,16,L,1,2524
1215,04/09/2009,1,15,4,12,W,1,NULL
1216,13/09/2009,8,16,1,16,D,1,NULL
1217,18/09/2009,1,12,5,25,W,1,NULL
1218,26/09/2009,10,24,1,18,L,1,NULL
1219,02/10/2009,1,8,7,11,L,1,NULL
1356,11/10/2009,22,36,1,17,W,2,NULL
1020,16/10/2009,1,27,23,26,W,3,NULL
1011,24/10/2009,11,21,1,16,L,1,NULL
1012,30/10/2009,1,28,6,23,W,1,NULL
1016,06/11/2009,21,20,1,9,L,2,NULL
1017,13/11/2009,1,27,9,3,W,2,NULL
1013,22/11/2009,1,17,9,24,W,1,NULL
1014,05/12/2009,2,15,1,13,L,1,NULL
1021,13/12/2009,24,19,1,29,W,3,NULL
1022,20/12/2009,1,21,24,17,W,3,NULL
1015,27/12/2009,4,32,1,6,L,1,NULL
1222,01/01/2010,1,21,24,16,W,1,NULL
1023,16/01/2010,23,36,1,19,L,3,NULL
1024,24/01/2010,1,13,22,19,L,3,NULL
1018,29/01/2010,1,14,11,20,L,2,NULL
1019,06/02/2010,5,40,1,7,L,2,NULL
1223,14/02/2010,3,22,1,16,L,1,NULL
1224,19/02/2010,1,10,9,19,L,1,NULL
1225,27/02/2010,6,47,1,3,L,1,NULL
1226,07/03/2010,1,7,11,15,L,1,NULL
1227,19/03/2010,1,19,3,8,W,1,NULL
1228,28/03/2010,7,38,1,0,L,1,NULL
1229,02/04/2010,1,17,10,3,W,1,NULL
1230,09/04/2010,1,19,2,30,L,1,NULL
1231,17/04/2010,5,34,1,15,L,1,NULL
1232,23/04/2010,8,30,1,32,L,1,NULL
1233,08/05/2010,24,35,1,20,L,1,NULL
1178,03/09/2010,1,35,8,18,W,1,NULL
1179,12/09/2010,2,28,13,18,L,1,NULL
1180,17/09/2010,1,21,24,17,L,1,NULL
1181,25/09/2010,5,31,1,16,L,1,NULL
1199,01/10/2010,1,24,3,25,L,1,NULL
1042,08/10/2010,1,97,102,11,W,4,NULL
1043,16/10/2010,1,9,103,56,W,4,NULL
1200,22/10/2010,9,3,1,6,W,1,NULL
1041,31/10/2010,7,39,1,26,L,1,NULL
1037,05/11/2010,1,39,7,14,W,2,NULL
1038,14/11/2010,9,17,1,23,W,2,NULL
1201,19/11/2010,1,10,11,19,L,1,NULL
1202,27/11/2010,13,24,1,19,L,1,NULL
1044,11/12/2010,75,18,1,9,L,4,NULL
1045,20/12/2010,1,3,75,15,L,4,NULL
1203,27/12/2010,4,54,1,21,L,1,NULL
1048,02/01/2011,1,28,2,22,W,1,NULL
1204,07/01/2011,8,19,1,19,D,1,NULL
1046,14/01/2011,1,54,103,0,W,4,NULL
1047,22/01/2011,102,5,1,50,W,4,NULL
1040,28/01/2011,1,20,21,28,L,2,NULL
1039,06/02/2011,2,50,1,7,L,2,NULL
1205,11/02/2011,1,7,5,19,L,1,NULL
1206,19/02/2011,24,21,1,9,L,1,NULL
1207,25/02/2011,1,16,4,18,L,1,NULL
1214,06/03/2011,3,33,1,22,L,1,NULL
1209,25/03/2011,1,15,9,12,W,1,NULL
1208,02/04/2011,11,53,1,24,L,1,NULL
1210,08/04/2011,1,36,6,31,L,1,NULL
1212,16/04/2011,1,20,7,34,L,1,NULL
1211,22/04/2011,1,24,13,30,L,1,NULL
1213,07/05/2011,6,68,1,17,L,1,NULL
1234,03/09/2011,10,17,1,12,L,1,NULL
1235,09/09/2011,1,30,7,29,W,1,NULL
1237,17/09/2011,3,18,1,29,W,1,NULL
1236,23/09/2011,1,29,11,21,W,1,NULL
1238,01/10/2011,24,48,1,41,L,1,NULL
1239,08/10/2011,6,58,1,27,L,3,NULL
1240,15/10/2011,6,58,1,27,L,3,NULL
1241,21/10/2011,1,25,24,37,L,3,NULL
1242,28/10/2011,1,13,4,34,L,1,NULL
1243,06/11/2011,2,23,1,10,L,1,NULL
1244,12/11/2011,75,26,1,18,L,4,NULL
1245,18/11/2011,1,59,116,6,W,4,NULL
1246,25/11/2011,1,23,13,30,L,1,NULL
1247,03/12/2011,5,13,1,16,W,1,NULL
1248,08/12/2011,117,13,1,29,W,4,NULL
1249,18/12/2011,1,41,117,21,W,4,NULL
1250,26/12/2011,1,27,8,19,W,1,NULL
1251,01/01/2012,4,28,1,23,L,1,NULL
1252,08/01/2012,7,21,1,19,L,1,NULL
1253,14/01/2012,116,10,1,69,W,4,NULL
1254,19/01/2012,1,9,75,19,L,4,NULL
1255,29/01/2012,8,37,1,7,L,3,NULL
1256,04/02/2012,1,19,38,14,W,3,NULL
1257,10/02/2012,1,15,10,12,W,1,NULL
