DateOfMatch,Attendance,MatchesID,AttendanceID
09/11/2018,17023,1036,3061
17/11/2018,7465,1028,3217
24/11/2018,5290,1029,3054
02/12/2018,13319,1030,3053
08/12/2018,12600,1032,3057
15/12/2018,3049,1033,3058
22/12/2018,7465,1046,3126
29/12/2018,15879,1047,3127
04/01/2019,8535,1048,3128
12/01/2019,6229,1051,3129
19/01/2019,4359,1052,3130
03/02/2019,3824,1050,3218
16/02/2019,12447,1053,3219
23/02/2019,12085,1054,3220
02/03/2019,6407,1055,3221
08/03/2019,6508,1056,3222
23/03/2019,27284,1057,3223
29/03/2019,4649,1049,3225
05/04/2019,5418,1058,3224
13/04/2019,7565,1060,3135
20/04/2019,16000,1103,3134
26/04/2019,5901,1059,3133
03/05/2019,20328,1101,3132
18/05/2019,7848,1102,3131
21/09/2019,5744,1134,3161
28/09/2019,5398,1135,3162
05/10/2019,6809,1136,3163
12/10/2019,2558,1137,3173
19/10/2019,6152,1138,3174
26/10/2019,3622,1465,3009
01/11/2019,14639,1139,3008
08/11/2019,5951,1140,3172
16/11/2019,7351,1156,3164
24/11/2019,6087,1466,3175
30/11/2019,8409,1157,3177
08/12/2019,11090,1158,3178
15/12/2019,10217,1159,3179
21/12/2019,8120,1467,3180
28/12/2019,14509,1160,3181
03/01/2020,8579,1161,3182
10/01/2020,15500,1162,3183
18/01/2020,7708,1163,3184
25/01/2020,11965,1164,3185
07/02/2020,7992,1165,3186
15/02/2020,7500,1468,3187
21/02/2020,7208,1166,3188
28/02/2020,13370,1469,3190
06/03/2020,7041,1470,3191
14/08/2020,0,3509,5406
21/08/2020,0,3510,5407
25/08/2020,0,3511,5408
29/08/2020,0,NULL,5409
05/09/2020,0,NULL,5531
09/09/2020,0,NULL,5532
13/09/2020,0,NULL,5533
29/09/2020,0,NULL,5534
07/10/2020,NULL,NULL,5486
08/01/2021,0,NULL,5704
29/01/2021,0,NULL,5705
05/02/2021,0,NULL,5706
12/02/2021,0,NULL,5707
20/02/2021,0,NULL,5708
26/02/2021,0,NULL,5709
05/03/2021,0,NULL,5710
13/03/2021,0,NULL,5711
21/03/2021,0,NULL,5712
27/03/2021,0,NULL,5713
04/04/2021,0,NULL,5714
