MatchID,DateOfMatch,Fullback,RightWinger,OutsideCentre,InsideCentre,LeftWinger,FlyHalf,ScrumHalf,LooseHeadProp,Hooker,TightHeadProp,SecondRow4,SecondRow5,BlindSideFlanker,OpensideFlanker,Number8,Replacement1,Replacement2,Replacement3,Replacement4,Replacement5,Replacement6,Replacement7,Replacement8,MatchesID
61,06/01/2018,James O'Connor,Will Addison,Sam James,Rohan Janse van Rensburg,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Cameron Neild,Ben Curry,Jono Ross ,Marc Jones,James Flynn,Halani Aulika,George Nott,TJ Ioane,Will Cliff,Mike Haley,Josh Charnley,1448
77,13/01/2018,Mike Haley,Denny Solomona,Will Addison,Rohan Janse van Rensburg,Marland Yarde,Sam James,Will Cliff,James Flynn,Marc Jones,Halani Aulika,George Nott,Andrei Ostrikov,Cameron Neild,David Seymour,Jono Ross,Rob Webber,Ross Harrison,Alexandru Tarus,Matt Postlethwaite,Ben Curry,Josh Charnley,Luke James,Josh Beaumont,1449
157,20/01/2018,Mike Haley,Josh Charnley,Will Addison,Luke James,Marland Yarde,Sam James,Will Cliff,James Flynn,Marc Jones,Alexandru Tarus,George Nott,Andrei Ostrikov,Jono Ross,Cameron Neild,Josh Beaumont,Rob Webber,Ross Harrison,Halani Aulika,Matt Postlethwaite,Sam Moore,Ben Curry,Paolo Odogwu,Arron Reed,1450
79,27/01/2018,Mike Haley,Josh Charnley,Will Addison,Luke James,Paolo Odogwu,Kieran Wilkinson ,Faf de Klerk,James Flynn,Marc Jones,Willgriff John,Bryn Evans,Josh Beaumont,TJ Ioane,Cameron Neild,Sam Moore,Curtis Langdon,Jake Pope,Alexandru Tarus,Matt Postlethwaite,David Seymour,George Nott,Will Cliff,Cameron Redpath,1451
80,02/02/2018,Mike Haley,Josh Charnley,Luke James,Cameron Redpath,Marland Yarde,Sam James,Will Cliff,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Josh Beaumont,TJ Ioane,Ben Curry,Josh Strauss,Curtis Langdon,James Flynn,Halani Aulika,Matt Postlethwaite,Nic Dolly,Faf de Klerk,Kieran Wilkinson,Arron Reed,1452
141,10/02/2018,Mike Haley,Paolo Odogwu,Will Addison,Luke James,Josh Charnley,Sam James,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Josh Beaumont,Jono Ross ,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,George Nott,Cameron Neild,TJ Ioane,Will Cliff,Mark Jennings,1453
63,16/02/2018,Mike Haley,Denny Solomona,Will Addison ,Mark Jennings,Marland Yarde,Sam James,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Josh Beaumont,Andrei Ostrikov,Jono Ross,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,George Nott,Cameron Neild,Will Cliff,Luke James,Josh Charnley,1454
64,24/02/2018,Mike Haley,Denny Solomona,Will Addison ,Luke James,Marland Yarde,Sam James,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Josh Beaumont,Andrei Ostrikov,Jono Ross,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Alexandru Tarus,George Nott,Cameron Neild,Will Cliff,Cameron Redpath,Josh Charnley,1455
65,03/03/2018,Mike Haley,Denny Solomona,Will Addison ,Luke James,Marland Yarde,Sam James,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,Josh Beaumont,Cameron Neild,Will Cliff,Byron McGuigan,Josh Charnley,1456
66,24/03/2018,Mike Haley,Denny Solomona,Will Addison ,Sam James,Marland Yarde,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Alexandru Tarus,Josh Beaumont,Tom Curry,Will Cliff,James O'Connor,Byron McGuigan,1457
