DateOfMatch,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Try11,Try12,Try13,Try14,Try15,MatchID,TryID
25/11/2001,Mark Cueto,Charlie Hodgson,Charlie Hodgson,Mel Deane,Steve Hanley,Steve Hanley, , , , , , , , , ,NULL,4634
01/12/2001,Steve Hanley,Jason Robinson, , , , , , , , , , , , , ,NULL,4635
08/12/2001,Steve Hanley, , , , , , , , , , , , , , ,NULL,4636
27/12/2001,Jason Robinson, , , , , , , , , , , , , , ,NULL,4637
20/11/2020,Dan du Preez,Simon Hammersley,AJ MacGinty,Akker Van der Merwe, , , , , , , , , , , ,NULL,4638
27/11/2020,Cobus Wiese, , , , , , , , , , , , , , ,NULL,4639
06/12/2020,Denny Solomona,Akker Van der Merwe, , , , , , , , , , , , , ,NULL,4640
12/12/2020,Marland Yarde,James Phillips, , , , , , , , , , , , , ,NULL,4641
19/12/2020,Denny Solomona,Denny Solomona, , , , , , , , , , , , , ,NULL,4642
27/12/2020,Marland Yarde,Marland Yarde, , , , , , , , , , , , , ,NULL,4643
02/01/2021,Josh Beaumont, , , , , , , , , , , , , , ,NULL,4644
NULL, , , , , , , , , , , , , , , ,NULL,4645
NULL, , , , , , , , , , , , , , , ,NULL,4646
NULL, , , , , , , , , , , , , , , ,NULL,4647
NULL, , , , , , , , , , , , , , , ,NULL,4648
NULL, , , , , , , , , , , , , , , ,NULL,4649
20/11/2020,Dan du Preez,Simon Hammersley,AJ MacGinty,Akker Van der Merwe, , , , , , , , , , , ,NULL,4650
27/11/2020,Cobus Wiese, , , , , , , , , , , , , , ,NULL,4651
06/12/2020,Denny Solomona,Akker Van der Merwe, , , , , , , , , , , , , ,NULL,4652
12/12/2020,Marland Yarde,James Phillips, , , , , , , , , , , , , ,NULL,4653
19/12/2020,Denny Solomona,Denny Solomona, , , , , , , , , , , , , ,NULL,4654
27/12/2020,Marland Yarde,Marland Yarde, , , , , , , , , , , , , ,NULL,4655
02/01/2021,Josh Beaumont, , , , , , , , , , , , , , ,NULL,4656
NULL, , , , , , , , , , , , , , , ,NULL,4657
NULL, , , , , , , , , , , , , , , ,NULL,4658
NULL, , , , , , , , , , , , , , , ,NULL,4659
NULL, , , , , , , , , , , , , , , ,NULL,4660
NULL, , , , , , , , , , , , , , , ,NULL,4661
08/01/2021,Faf de Klerk,Jono Ross, , , , , , , , , , , , , ,NULL,4662
29/01/2021,Sam James,Cobus Weise,Marland Yarde, , , , , , , , , , , , ,NULL,4663
05/02/2021,Luke James, , , , , , , , , , , , , , ,NULL,4664
12/02/2021,Dan du Preez,Cameron Neild,Jono Ross, , , , , , , , , , , , ,NULL,4665
20/02/2021,Rob du Preez,Curtis Langdon, , , , , , , , , , , , , ,NULL,4666
26/02/2021,Curtis Langdon,Byron McGuigan,Bevan Rodd, , , , , , , , , , , , ,NULL,4667
05/03/2021,Lood de Jager,Simon Hammersley,Marland Yarde, , , , , , , , , , , , ,NULL,4668
13/03/2021,Lood de Jager,Jean-Luc du Preez, , , , , , , , , , , , , ,NULL,4669
21/03/2021,Lood de Jager,Simon Hammersley,Byron McGuigan,Byron McGuigan,Byron McGuigan,Arron Reed, , , , , , , , , ,NULL,4670
27/03/2021,Josh Beaumont,Akker van der Merwe, , , , , , , , , , , , , ,NULL,4671
04/04/2021,Akker van der Merwe,Akker van der Merwe, ,AJ MacGinty,Marland Yarde,Josh Beaumont,Raffi Quirke, , , , , , , , ,NULL,4672
