PlayerID,Player,DateOfBirth,PlaceOfBirth,DateSigned,OldClub
1452,Cobus Wiese,02/06/1997,Upington,07/09/2020,43
1453,Mark Simpson-Daniel,11/02/1985,Yarm,01/01/2004,100
1454,Lionel Faure,26/11/1978,Yarm,01/07/2005,55
1455,Kevin Ellis,25/05/1965,Bridgend,01/07/1997,122
1456,Leslie Bone,03/04/1976,Bridgend,01/07/2001,100
2439,Andy Blyth,02/10/1975,Hexham,01/07/1998,100
2440,Andy Titterrell,10/01/1981,Dartford,01/07/2000,100
2441,Barrie-Jon Mather,15/01/1973,Blackpool,01/07/1998,73
2442,Charles Vyvyan,01/09/1965,Dartford,01/07/1997,100
2443,Chris Briers,01/09/1983,Manchester,01/07/2003,100
2444,Charl Marais,02/09/1970,Bothaville,01/07/2001,123
2445,Steve Diamond,03/02/1968,Chatham,01/07/1989,100
2446,Stuart Pinkerton,23/03/1973,Sydney,01/07/2001,45
2447,Christian Day,24/06/1983,Blackpool,03/06/2002,100
2453,Richard Smith,06/06/1973,Pontypool,01/07/1996,63
2456,Chris Murphy,02/02/1976,Beverley,10/06/1996,100
