DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
29/09/2007,NULL,NULL,NULL,NULL,NULL,NULL,1224
05/10/2007,NULL,NULL,NULL,NULL,NULL,NULL,1225
13/10/2007,Sean Cox,NULL,NULL,NULL,NULL,NULL,1226
19/10/2007,NULL,NULL,NULL,NULL,NULL,NULL,1227
23/11/2007,Andrew Sheridan,Sebastien Bruno,NULL,NULL,NULL,NULL,1228
23/12/2007,NULL,NULL,NULL,NULL,NULL,NULL,1229
30/12/2007,NULL,NULL,NULL,NULL,NULL,NULL,1230
06/01/2008,NULL,NULL,NULL,NULL,NULL,NULL,1231
25/01/2008,NULL,NULL,NULL,NULL,NULL,NULL,1232
15/02/2008,NULL,NULL,NULL,NULL,NULL,NULL,1233
23/02/2008,NULL,NULL,NULL,NULL,NULL,NULL,1234
29/02/2008,NULL,NULL,NULL,NULL,NULL,NULL,1235
09/03/2008,NULL,NULL,NULL,NULL,NULL,NULL,1236
14/03/2008,Chris Jones,NULL,NULL,NULL,NULL,NULL,1237
28/03/2008,NULL,NULL,NULL,NULL,NULL,NULL,1238
11/04/2008,NULL,NULL,NULL,NULL,NULL,NULL,1239
15/04/2008,Oriol Ripol Fortuny,NULL,NULL,NULL,NULL,NULL,1240
20/04/2008,NULL,NULL,NULL,NULL,NULL,NULL,1241
04/05/2008,Juan Martin Fernandez Lobbe,Andrew Sheridan,NULL,NULL,NULL,NULL,1242
10/05/2008,NULL,NULL,NULL,NULL,NULL,NULL,1243
07/09/2008,Luke Abraham,NULL,NULL,NULL,NULL,NULL,1244
12/09/2008,Luke Abraham,NULL,NULL,NULL,NULL,NULL,1245
19/09/2008,Rory Lamont,NULL,NULL,NULL,NULL,NULL,1246
26/09/2008,Rory Lamont,NULL,NULL,NULL,NULL,NULL,1247
01/10/2008,Chris Bell,NULL,NULL,NULL,NULL,NULL,1248
14/11/2008,NULL,NULL,NULL,NULL,NULL,NULL,1249
23/11/2008,Dean Schofield,NULL,NULL,NULL,NULL,NULL,1250
28/11/2008,David Doherty,NULL,NULL,NULL,NULL,NULL,1251
20/12/2008,Stuart Turner,Sebastien Chabal,NULL,NULL,NULL,NULL,1252
26/12/2008,NULL,NULL,NULL,NULL,NULL,NULL,1253
03/01/2009,NULL,NULL,NULL,NULL,NULL,NULL,1254
09/01/2009,Mark Cueto,NULL,NULL,NULL,NULL,NULL,1255
31/01/2009,NULL,NULL,NULL,NULL,NULL,NULL,1256
14/02/2009,Lee Thomas,Brent Cockbain,NULL,NULL,NULL,NULL,1257
